country,payment_date,total_amount
Canada,58:27.0,3.99
India,50:56.0,3.99
South Africa,44:08.0,3.99
United Kingdom,41:37.0,3.99
United States,13:43.0,3.99
United States,36:45.0,3.99
India,33:47.0,3.99
Chad,15:00.0,3.99
Argentina,49:38.0,3.99
India,34:46.0,3.99
India,57:56.0,3.99
Nauru,34:33.0,3.99
India,58:32.0,3.99
Nauru,47:10.0,3.99
Russian Federation,08:54.0,3.99
Brazil,30:25.0,3.99
South Africa,59:22.0,3.99
France,10:05.0,3.99
United States,42:43.0,3.99
Latvia,12:11.0,3.99
Indonesia,26:09.0,3.99
China,18:14.0,3.99
United States,58:10.0,3.99
Nigeria,26:51.0,3.99
Brazil,40:40.0,3.99
Philippines,16:02.0,3.99
Sri Lanka,54:54.0,3.99
Chile,15:48.0,3.99
Russian Federation,24:36.0,3.99
Canada,48:35.0,3.99
Brazil,53:28.0,3.99
Mexico,20:48.0,3.99
United Arab Emirates,25:06.0,3.99
Kuwait,37:28.0,3.99
Japan,41:03.0,3.99
Iran,07:35.0,3.99
Mexico,13:20.0,3.99
India,56:57.0,3.99
United States,23:42.0,3.99
China,12:42.0,3.99
Brazil,42:47.0,3.99
Poland,04:25.0,3.99
Philippines,19:19.0,3.99
Mexico,49:06.0,3.99
Nigeria,44:05.0,3.99
Mexico,00:50.0,3.99
Romania,31:16.0,3.99
United States,07:22.0,3.99
Russian Federation,52:42.0,3.99
China,38:41.0,3.99
Mexico,34:45.0,3.99
Yemen,20:25.0,3.99
Vietnam,09:34.0,3.99
Brazil,59:14.0,3.99
Myanmar,38:54.0,3.99
Italy,53:38.0,3.99
Greece,59:45.0,3.99
Russian Federation,52:35.0,3.99
Egypt,56:55.0,3.99
South Korea,56:59.0,3.99
Brazil,37:58.0,3.99
Armenia,37:01.0,3.99
India,28:43.0,3.99
India,39:24.0,3.99
Italy,55:05.0,3.99
Germany,59:19.0,3.99
India,06:18.0,3.99
India,40:11.0,3.99
Romania,40:55.0,3.99
China,32:16.0,3.99
Taiwan,07:15.0,3.99
Argentina,22:24.0,3.99
Ecuador,17:09.0,3.99
Taiwan,34:41.0,3.99
Pakistan,10:30.0,3.99
China,59:07.0,3.99
China,32:11.0,3.99
Venezuela,32:26.0,3.99
India,52:46.0,3.99
China,53:51.0,3.99
Russian Federation,13:36.0,3.99
Brazil,36:12.0,3.99
Chile,47:06.0,3.99
Algeria,24:12.0,3.99
Brazil,58:12.0,3.99
Germany,21:40.0,3.99
Yugoslavia,09:21.0,3.99
United States,43:03.0,3.99
Mozambique,27:31.0,3.99
China,16:30.0,3.99
Bulgaria,13:42.0,3.99
Mexico,20:28.0,3.99
Indonesia,54:58.0,3.99
Philippines,56:15.0,3.99
Spain,47:00.0,3.99
Ukraine,39:28.0,3.99
India,48:52.0,3.99
Philippines,37:48.0,3.99
Iran,42:12.0,3.99
India,49:47.0,3.99
Japan,53:12.0,3.99
Turkey,41:37.0,3.99
Turkey,19:27.0,3.99
Indonesia,49:35.0,3.99
China,31:41.0,3.99
Turkey,56:30.0,3.99
United States,33:03.0,3.99
Chile,20:30.0,3.99
Brazil,00:25.0,3.99
Poland,30:50.0,3.99
Philippines,00:21.0,3.99
South Africa,05:36.0,3.99
Taiwan,29:37.0,3.99
Japan,16:21.0,3.99
India,08:21.0,3.99
Spain,02:50.0,3.99
Hungary,04:31.0,3.99
Runion,05:06.0,3.99
Taiwan,55:42.0,3.99
India,48:37.0,3.99
Ukraine,41:21.0,3.99
Puerto Rico,54:44.0,3.99
Japan,01:20.0,3.99
Peru,49:03.0,3.99
Tanzania,22:46.0,3.99
Bangladesh,48:09.0,3.99
Holy See (Vatican City State),16:38.0,3.99
Ecuador,55:54.0,3.99
Russian Federation,54:15.0,3.99
China,10:15.0,3.99
Greece,24:45.0,3.99
Mexico,15:20.0,3.99
Ecuador,52:29.0,3.99
United States,22:53.0,3.99
United States,22:24.0,3.99
Ukraine,27:19.0,3.99
Poland,40:24.0,3.99
Brazil,11:36.0,3.99
Sweden,33:00.0,3.99
Germany,51:13.0,3.99
Ukraine,50:11.0,3.99
Germany,16:22.0,3.99
Brazil,06:01.0,3.99
Japan,18:44.0,3.99
Nigeria,47:48.0,3.99
Tanzania,43:41.0,3.99
Kenya,44:46.0,3.99
Netherlands,57:02.0,3.99
Japan,46:28.0,3.99
Spain,53:02.0,3.99
Turkey,17:47.0,3.99
China,41:56.0,3.99
India,46:47.0,3.99
South Africa,34:33.0,3.99
Holy See (Vatican City State),36:01.0,3.99
Gambia,04:07.0,3.99
Brazil,06:26.0,3.99
Estonia,27:06.0,3.99
France,15:59.0,3.99
Azerbaijan,21:28.0,3.99
China,36:46.0,3.99
Poland,58:23.0,3.99
Kuwait,47:08.0,3.99
China,03:44.0,3.99
Azerbaijan,34:44.0,3.99
Philippines,08:45.0,3.99
Philippines,27:46.0,3.99
Latvia,53:30.0,3.99
United States,33:55.0,3.99
Colombia,25:07.0,3.99
United States,38:20.0,3.99
Japan,54:20.0,3.99
Philippines,54:48.0,3.99
Austria,47:18.0,3.99
India,15:40.0,3.99
United Arab Emirates,04:09.0,3.99
Brazil,15:19.0,3.99
United Kingdom,52:37.0,3.99
New Zealand,15:56.0,3.99
Indonesia,51:47.0,3.99
Canada,41:09.0,3.99
Germany,48:22.0,3.99
Saudi Arabia,25:11.0,3.99
United Kingdom,27:54.0,3.99
Mexico,25:08.0,3.99
Japan,41:49.0,3.99
Thailand,18:51.0,3.99
China,08:10.0,3.99
China,25:52.0,3.99
Spain,04:22.0,3.99
Taiwan,25:28.0,3.99
Lithuania,31:30.0,3.99
Philippines,18:40.0,3.99
Philippines,18:56.0,3.99
Brazil,50:35.0,3.99
China,16:18.0,3.99
Pakistan,45:08.0,3.99
Argentina,30:32.0,3.99
Mexico,48:08.0,3.99
Mexico,50:11.0,3.99
Philippines,20:13.0,3.99
Argentina,07:56.0,3.99
Brazil,58:28.0,3.99
Romania,41:56.0,3.99
Nigeria,12:57.0,3.99
China,02:06.0,3.99
Slovakia,12:42.0,3.99
Indonesia,30:31.0,3.99
Egypt,24:47.0,3.99
Japan,45:17.0,3.99
Canada,57:07.0,3.99
Mexico,30:36.0,3.99
Bangladesh,06:03.0,3.99
Russian Federation,19:16.0,3.99
South Korea,44:30.0,3.98
Saudi Arabia,44:30.0,3.98
Canada,44:30.0,3.98
Italy,44:30.0,3.98
Japan,14:53.0,2.99
Philippines,00:03.0,2.99
Chile,50:47.0,2.99
Czech Republic,28:24.0,2.99
Canada,56:00.0,2.99
India,07:37.0,2.99
Argentina,06:54.0,2.99
India,14:32.0,2.99
Brazil,25:13.0,2.99
Thailand,56:48.0,2.99
Philippines,24:10.0,2.99
China,31:17.0,2.99
Canada,15:02.0,2.99
Nigeria,42:55.0,2.99
Brazil,07:31.0,2.99
Algeria,30:35.0,2.99
Egypt,46:23.0,2.99
Spain,47:04.0,2.99
Philippines,57:48.0,2.99
Belarus,27:06.0,2.99
China,51:47.0,2.99
China,05:02.0,2.99
Iran,25:08.0,2.99
China,48:12.0,2.99
Japan,12:32.0,2.99
Austria,27:35.0,2.99
United States,39:59.0,2.99
Kazakstan,28:11.0,2.99
Poland,53:55.0,2.99
North Korea,32:23.0,2.99
Mexico,43:46.0,2.99
Peru,17:21.0,2.99
India,46:00.0,2.99
Germany,10:59.0,2.99
Colombia,21:18.0,2.99
Moldova,24:07.0,2.99
United States,56:50.0,2.99
Pakistan,30:45.0,2.99
Spain,21:47.0,2.99
Japan,41:41.0,2.99
Morocco,39:46.0,2.99
Peru,45:13.0,2.99
Russian Federation,52:54.0,2.99
Iraq,29:10.0,2.99
Peru,04:59.0,2.99
Algeria,30:12.0,2.99
Ecuador,17:44.0,2.99
United States,57:27.0,2.99
China,08:30.0,2.99
Armenia,44:30.0,2.99
United Kingdom,32:08.0,2.99
Kazakstan,58:13.0,2.99
United States,20:11.0,2.99
Brazil,23:49.0,2.99
Philippines,53:53.0,2.99
Indonesia,36:02.0,2.99
Nauru,54:02.0,2.99
United States,53:01.0,2.99
India,57:10.0,2.99
Japan,46:47.0,2.99
Japan,43:34.0,2.99
Peru,52:05.0,2.99
India,02:51.0,2.99
Philippines,24:32.0,2.99
India,59:02.0,2.99
China,37:32.0,2.99
Mexico,00:31.0,2.99
Switzerland,04:18.0,2.99
China,41:20.0,2.99
United States,25:11.0,2.99
Iran,11:55.0,2.99
Japan,52:51.0,2.99
Taiwan,11:23.0,2.99
Malaysia,50:40.0,2.99
Belarus,27:27.0,2.99
Russian Federation,13:13.0,2.99
Cameroon,35:30.0,2.99
Germany,45:36.0,2.99
China,23:36.0,2.99
Vietnam,27:12.0,2.99
United States,06:06.0,2.99
United States,41:17.0,2.99
Venezuela,16:50.0,2.99
China,41:37.0,2.99
India,24:04.0,2.99
India,29:50.0,2.99
Argentina,39:54.0,2.99
Germany,13:31.0,2.99
Netherlands,42:04.0,2.99
Algeria,08:56.0,2.99
New Zealand,11:12.0,2.99
North Korea,16:44.0,2.99
Philippines,28:19.0,2.99
Egypt,16:58.0,2.99
Bangladesh,27:36.0,2.99
Netherlands,08:51.0,2.99
Japan,43:25.0,2.99
United Kingdom,21:29.0,2.99
South Korea,37:25.0,2.99
Cameroon,06:31.0,2.99
Austria,30:33.0,2.99
Puerto Rico,35:47.0,2.99
Philippines,26:17.0,2.99
Indonesia,27:06.0,2.99
Japan,15:08.0,2.99
Sweden,10:53.0,2.99
Germany,06:29.0,2.99
China,20:26.0,2.99
Lithuania,36:25.0,2.99
Turkey,27:36.0,2.99
United States,14:37.0,2.99
India,32:21.0,2.99
Iraq,46:56.0,2.99
Japan,45:37.0,2.99
Ecuador,14:55.0,2.99
India,08:31.0,2.99
China,56:55.0,2.99
United States,51:27.0,2.99
Argentina,14:51.0,2.99
Bolivia,14:28.0,2.99
United States,37:41.0,2.99
Azerbaijan,10:55.0,2.99
Netherlands,28:49.0,2.99
Colombia,38:46.0,2.99
United States,51:03.0,2.99
Poland,46:54.0,2.99
Bolivia,55:12.0,2.99
India,55:19.0,2.99
India,40:20.0,2.99
Brazil,13:36.0,2.99
Argentina,04:32.0,2.99
Romania,33:09.0,2.99
Russian Federation,16:02.0,2.99
New Zealand,44:28.0,2.99
China,36:44.0,2.99
India,14:32.0,2.99
Turkmenistan,25:52.0,2.99
China,24:13.0,2.99
Japan,10:34.0,2.99
Japan,19:30.0,2.99
China,30:33.0,2.99
China,35:41.0,2.99
India,30:36.0,2.99
India,05:32.0,2.99
China,32:05.0,2.99
Japan,43:29.0,2.99
Philippines,19:29.0,2.99
United Kingdom,32:05.0,2.99
India,02:33.0,2.99
Tanzania,56:09.0,2.99
United States,20:26.0,2.99
Israel,15:11.0,2.99
Taiwan,25:37.0,2.99
Colombia,42:34.0,2.99
Cambodia,29:19.0,2.99
Vietnam,06:56.0,2.99
Anguilla,23:35.0,2.99
Taiwan,16:58.0,2.99
Colombia,14:08.0,2.99
Argentina,05:34.0,2.99
India,58:42.0,2.99
United States,35:48.0,2.99
China,41:42.0,2.99
India,27:44.0,2.99
Russian Federation,01:44.0,2.99
Colombia,49:11.0,2.99
China,06:55.0,2.99
Ethiopia,58:10.0,2.99
Bulgaria,40:05.0,2.99
Mexico,19:48.0,2.99
Belarus,01:53.0,2.99
Peru,42:05.0,2.99
China,42:19.0,2.99
Russian Federation,35:38.0,2.99
Mexico,04:47.0,2.99
Liechtenstein,56:34.0,2.99
China,47:36.0,2.99
Romania,51:32.0,2.99
Russian Federation,21:19.0,2.99
Mexico,39:38.0,2.99
Italy,39:58.0,2.99
United Arab Emirates,53:05.0,2.99
South Korea,48:26.0,2.99
Paraguay,29:50.0,2.99
Turkey,23:09.0,2.99
Japan,10:40.0,2.99
Mexico,48:34.0,2.99
Mexico,28:22.0,2.99
China,54:08.0,2.99
Yemen,53:53.0,2.99
United Kingdom,45:54.0,2.99
Yemen,25:14.0,2.99
Vietnam,55:57.0,2.99
Japan,51:38.0,2.99
Malawi,43:02.0,2.99
Japan,20:32.0,2.99
United States,09:04.0,2.99
India,44:14.0,2.99
Japan,23:40.0,2.99
India,21:27.0,2.99
Mexico,16:58.0,2.99
United States,40:38.0,2.99
China,25:26.0,2.99
Brazil,02:27.0,2.99
Indonesia,36:54.0,2.99
Zambia,08:52.0,2.99
Moldova,30:31.0,2.99
Romania,35:25.0,2.99
Japan,02:25.0,2.99
Turkey,07:36.0,2.99
Poland,40:47.0,2.99
Mexico,13:16.0,2.99
India,50:28.0,2.99
Japan,55:31.0,2.99
China,31:32.0,2.99
Iran,39:15.0,2.99
Mexico,56:17.0,2.99
Bolivia,50:44.0,2.99
South Africa,53:24.0,2.99
Thailand,04:53.0,2.99
Armenia,17:41.0,2.99
Bulgaria,30:19.0,2.99
Turkey,49:54.0,2.99
Taiwan,29:29.0,2.99
Japan,17:43.0,2.99
Latvia,22:08.0,2.99
Puerto Rico,12:10.0,2.99
Taiwan,02:16.0,2.99
Pakistan,15:37.0,2.99
Mexico,47:53.0,2.99
Belarus,17:45.0,2.99
Mexico,20:03.0,2.99
Turkey,52:45.0,2.99
Pakistan,09:21.0,2.99
India,04:26.0,2.99
United States,46:38.0,2.99
Argentina,50:32.0,2.99
Cameroon,09:38.0,2.99
Brazil,42:57.0,2.99
France,40:58.0,2.99
China,27:54.0,2.99
Russian Federation,32:59.0,2.99
Nauru,40:44.0,2.99
Austria,54:57.0,2.99
Senegal,04:04.0,2.99
Mexico,05:46.0,2.99
India,30:53.0,2.99
Germany,01:39.0,2.99
Turkey,32:07.0,2.99
Indonesia,34:05.0,2.99
China,56:19.0,2.99
Chile,37:27.0,2.99
United Kingdom,43:14.0,2.99
India,05:04.0,2.99
Iran,17:42.0,2.99
China,55:59.0,2.99
Iran,59:36.0,2.99
United States,25:47.0,2.99
India,35:08.0,2.99
United States,00:39.0,2.99
Ukraine,22:10.0,2.99
Belarus,48:39.0,2.99
Spain,07:45.0,2.99
Indonesia,22:49.0,2.99
China,05:40.0,2.99
China,47:30.0,2.99
Turkey,18:20.0,2.99
Japan,30:18.0,2.99
Argentina,59:38.0,2.99
India,39:40.0,2.99
Iran,50:09.0,2.99
Japan,16:41.0,2.99
Argentina,15:00.0,2.99
Argentina,55:23.0,2.99
Philippines,06:17.0,2.99
Mexico,22:45.0,2.99
India,16:08.0,2.99
Mexico,13:37.0,2.99
Yugoslavia,20:44.0,2.99
Japan,12:02.0,2.99
India,17:32.0,2.99
China,35:53.0,2.99
India,58:26.0,2.99
Russian Federation,49:48.0,2.99
Dominican Republic,51:43.0,2.99
United States,39:38.0,2.99
Russian Federation,20:39.0,2.99
Mexico,42:13.0,2.99
Cameroon,01:49.0,2.99
South Africa,04:11.0,2.99
France,50:31.0,2.99
Brazil,13:45.0,2.99
China,34:00.0,2.99
Nigeria,27:49.0,2.99
Poland,30:34.0,2.99
United States,15:29.0,2.99
Poland,58:23.0,2.99
China,41:32.0,2.99
India,14:53.0,2.99
Thailand,58:28.0,2.99
Saudi Arabia,32:11.0,2.99
Venezuela,19:07.0,2.99
South Africa,06:29.0,2.99
Brazil,59:49.0,2.99
United States,50:16.0,2.99
Italy,21:43.0,2.99
Netherlands,22:33.0,2.99
United Arab Emirates,56:12.0,2.99
Canada,36:19.0,2.99
Cambodia,15:15.0,2.99
Madagascar,59:47.0,2.99
Bangladesh,17:50.0,2.99
Moldova,37:00.0,2.99
United Arab Emirates,17:03.0,2.99
Japan,12:13.0,2.99
China,15:45.0,2.99
China,02:47.0,2.99
United States,20:09.0,2.99
China,35:36.0,2.99
India,50:03.0,2.99
China,43:12.0,2.99
Iran,55:12.0,2.99
Morocco,09:11.0,2.99
Morocco,46:28.0,2.99
Vietnam,53:55.0,2.99
China,19:16.0,2.99
Brazil,21:09.0,2.99
Indonesia,38:26.0,2.99
Iran,19:50.0,2.99
Japan,31:01.0,2.99
Mexico,48:46.0,2.99
China,43:42.0,2.99
India,04:11.0,2.99
Morocco,02:09.0,2.99
Brazil,32:53.0,2.99
Sweden,36:54.0,2.99
India,57:00.0,2.99
United States,42:32.0,2.99
Afghanistan,34:46.0,2.99
Armenia,38:47.0,2.99
Turkey,40:59.0,2.99
Philippines,26:54.0,2.99
Argentina,03:08.0,2.99
Japan,17:10.0,2.99
Italy,52:25.0,2.99
India,06:12.0,2.99
Chile,56:16.0,2.99
Malaysia,38:59.0,2.99
Philippines,06:55.0,2.99
South Africa,24:04.0,2.99
Dominican Republic,20:52.0,2.99
Mexico,05:01.0,2.99
Mexico,52:59.0,2.99
Mexico,54:19.0,2.99
Bahrain,56:57.0,2.99
Cameroon,06:22.0,2.99
India,00:09.0,2.99
China,21:01.0,2.99
Iran,45:56.0,2.99
Nigeria,48:44.0,2.99
Poland,46:07.0,2.99
Turkey,46:46.0,2.99
Sweden,14:31.0,2.99
Azerbaijan,53:22.0,2.99
Puerto Rico,29:04.0,2.99
India,54:33.0,2.99
Mexico,57:57.0,2.99
China,59:20.0,2.99
South Korea,20:01.0,2.99
Poland,08:10.0,2.99
Runion,21:01.0,2.99
Mexico,57:14.0,2.99
Taiwan,30:18.0,2.99
Indonesia,44:19.0,2.99
China,30:42.0,2.99
Ukraine,50:35.0,2.99
United States,45:21.0,2.99
Dominican Republic,51:40.0,2.99
Thailand,47:04.0,2.99
Kenya,30:27.0,2.99
Colombia,29:38.0,2.99
India,12:30.0,2.99
United States,22:53.0,2.99
South Africa,47:03.0,2.99
Ukraine,43:17.0,2.99
Mexico,21:55.0,2.99
Finland,16:14.0,2.99
Japan,19:03.0,2.99
Sweden,48:41.0,2.99
Mexico,38:53.0,2.99
Netherlands,34:07.0,2.99
Turkey,01:16.0,2.99
Thailand,28:26.0,2.99
Paraguay,51:11.0,2.99
China,34:56.0,2.99
Russian Federation,32:15.0,2.99
India,46:14.0,2.99
Iraq,26:16.0,2.99
China,47:52.0,2.99
Iran,40:02.0,2.99
India,33:42.0,2.99
Bangladesh,39:08.0,2.99
Russian Federation,44:48.0,2.99
Argentina,28:01.0,2.99
Israel,52:57.0,2.99
Sudan,40:07.0,2.99
India,06:36.0,2.99
Algeria,12:04.0,2.99
China,25:34.0,2.99
Oman,05:27.0,2.99
Philippines,37:57.0,2.99
United States,43:24.0,2.99
Poland,33:03.0,2.99
French Polynesia,36:17.0,2.99
Nigeria,13:10.0,2.99
India,05:18.0,2.99
France,44:23.0,2.99
United States,02:51.0,2.99
China,37:13.0,2.99
Russian Federation,01:14.0,2.99
Bolivia,44:30.0,2.99
India,33:23.0,2.99
Yugoslavia,59:25.0,2.99
China,20:01.0,2.99
United States,58:28.0,2.99
Algeria,49:15.0,2.99
Nigeria,14:29.0,2.99
Bangladesh,02:43.0,2.99
United Kingdom,12:33.0,2.99
United States,22:34.0,2.99
Japan,17:35.0,2.99
China,13:29.0,2.99
Brazil,35:50.0,2.99
Yemen,44:30.0,2.99
Indonesia,28:47.0,2.99
Pakistan,59:25.0,2.99
Mexico,01:42.0,2.99
Tuvalu,50:42.0,2.99
Japan,53:42.0,2.99
India,01:22.0,2.99
Switzerland,16:19.0,2.99
Italy,27:57.0,2.99
Finland,44:15.0,2.99
Japan,43:28.0,2.99
United States,04:53.0,2.99
Thailand,40:15.0,2.99
United Kingdom,29:26.0,2.99
Israel,27:50.0,2.99
Faroe Islands,43:33.0,2.99
Turkey,07:51.0,2.99
United States,33:15.0,2.99
Turkey,17:25.0,2.99
Nigeria,12:39.0,2.99
Brazil,00:41.0,2.99
Colombia,07:13.0,2.99
China,33:28.0,2.99
Turkmenistan,44:09.0,2.99
Slovakia,07:06.0,2.99
Japan,22:59.0,2.99
Pakistan,24:48.0,2.99
India,09:03.0,2.99
Nigeria,02:25.0,2.99
Germany,02:26.0,2.99
Vietnam,35:14.0,2.99
United Kingdom,51:57.0,2.99
Ukraine,50:06.0,2.99
Colombia,45:36.0,2.99
United States,36:33.0,2.99
Greece,56:25.0,2.99
China,09:58.0,2.99
China,15:19.0,2.99
United States,53:48.0,2.99
Dominican Republic,37:00.0,2.99
Italy,00:03.0,2.99
China,47:49.0,2.99
Sri Lanka,32:31.0,2.99
Japan,03:39.0,2.99
Cameroon,02:41.0,2.99
Latvia,35:46.0,2.99
Pakistan,17:40.0,2.99
Russian Federation,23:45.0,2.99
Saint Vincent and the Grenadines,06:45.0,2.99
Mexico,08:55.0,2.99
India,47:56.0,2.99
Philippines,42:32.0,2.99
Czech Republic,28:26.0,2.99
Tuvalu,14:20.0,2.99
Belarus,49:44.0,2.99
Saint Vincent and the Grenadines,17:03.0,2.99
China,02:03.0,2.99
Sudan,08:44.0,2.99
Puerto Rico,37:46.0,2.99
Spain,42:30.0,2.99
India,16:10.0,2.99
Egypt,29:30.0,2.99
Mexico,26:13.0,2.99
Taiwan,09:32.0,2.99
United States,59:23.0,2.99
India,43:52.0,2.99
Mexico,17:45.0,2.99
Bulgaria,25:10.0,2.99
Mexico,43:56.0,2.99
China,23:49.0,2.99
China,11:19.0,2.99
United States,01:10.0,2.99
Indonesia,54:43.0,2.99
Indonesia,40:40.0,2.99
Taiwan,52:35.0,2.99
United States,31:41.0,2.99
Afghanistan,00:01.0,2.99
China,58:15.0,2.99
Poland,09:36.0,2.99
Dominican Republic,09:33.0,2.99
Pakistan,57:42.0,2.99
Yemen,35:43.0,2.99
Italy,13:43.0,2.99
South Africa,01:04.0,2.99
Canada,24:25.0,2.99
China,44:43.0,2.99
Nigeria,56:41.0,2.99
Taiwan,33:10.0,2.99
Morocco,47:20.0,2.99
Iran,09:36.0,2.99
Turkey,39:17.0,2.99
Moldova,39:06.0,2.99
Poland,07:55.0,2.99
Indonesia,12:36.0,2.99
China,04:55.0,2.99
Mexico,10:52.0,2.99
Japan,27:16.0,2.99
Kuwait,32:19.0,2.99
India,44:35.0,2.99
Bolivia,04:09.0,2.99
Mexico,02:59.0,2.99
South Korea,45:39.0,2.99
Indonesia,55:32.0,2.99
China,51:42.0,2.99
Saudi Arabia,17:37.0,2.99
United States,11:46.0,2.99
Tanzania,44:10.0,2.99
Czech Republic,30:40.0,2.99
Bahrain,44:30.0,2.99
Malawi,25:29.0,2.99
Taiwan,30:36.0,2.99
Russian Federation,14:06.0,2.99
Estonia,48:57.0,2.99
China,50:16.0,2.99
Bahrain,42:47.0,2.99
Angola,04:31.0,2.99
Turkey,43:54.0,2.99
Russian Federation,51:25.0,2.99
Ecuador,23:43.0,2.99
Dominican Republic,37:31.0,2.99
Turkey,44:34.0,2.99
Turkey,18:33.0,2.99
Mexico,37:13.0,2.99
Egypt,56:36.0,2.99
India,27:09.0,2.99
India,03:16.0,2.99
Myanmar,00:31.0,2.99
Algeria,00:59.0,2.99
Vietnam,33:42.0,2.99
Kazakstan,55:47.0,2.99
Brazil,20:25.0,2.99
China,39:43.0,2.99
Saudi Arabia,37:20.0,2.99
France,52:44.0,2.99
Brazil,49:51.0,2.99
Japan,05:32.0,2.99
Mozambique,54:09.0,2.99
Estonia,20:34.0,2.99
Pakistan,25:24.0,2.99
Mexico,22:41.0,2.99
China,53:52.0,2.99
Israel,34:27.0,2.99
Mexico,36:06.0,2.99
Italy,43:32.0,2.99
Russian Federation,32:31.0,2.99
Colombia,41:42.0,2.99
Nigeria,08:03.0,2.99
Nigeria,22:03.0,2.99
Hungary,20:04.0,2.99
United States,53:57.0,2.99
Tanzania,05:47.0,2.99
Brazil,30:24.0,2.99
Germany,39:28.0,2.99
India,54:49.0,2.99
Mozambique,18:33.0,2.99
Argentina,45:23.0,2.99
Russian Federation,09:52.0,2.99
Pakistan,31:47.0,2.99
China,33:57.0,2.99
Taiwan,27:45.0,2.99
India,52:43.0,2.99
South Africa,52:44.0,2.99
Mexico,34:49.0,2.99
China,30:02.0,2.99
Poland,17:37.0,2.99
United States,33:56.0,2.99
Saudi Arabia,38:12.0,2.99
China,58:02.0,2.99
Philippines,56:30.0,2.99
India,56:18.0,2.99
United Kingdom,23:11.0,2.99
China,30:56.0,2.99
Iran,27:53.0,2.99
Philippines,27:47.0,2.99
China,58:48.0,2.99
Japan,05:13.0,2.99
United States,33:00.0,2.99
Japan,28:57.0,2.99
Russian Federation,08:37.0,2.99
Venezuela,35:30.0,2.99
Turkey,50:51.0,2.99
Brazil,42:28.0,2.99
Japan,26:26.0,2.99
Spain,31:32.0,2.99
China,01:00.0,2.99
India,06:59.0,2.99
Holy See (Vatican City State),32:35.0,2.99
Vietnam,33:06.0,2.99
India,00:57.0,2.99
Egypt,58:02.0,2.99
Russian Federation,03:35.0,2.99
Slovakia,35:06.0,2.99
Ukraine,36:34.0,2.99
China,32:41.0,2.99
China,25:57.0,2.99
China,20:50.0,2.99
United States,22:25.0,2.99
Kenya,36:14.0,2.99
Brazil,01:30.0,2.99
Russian Federation,37:50.0,2.99
Poland,52:13.0,2.99
Italy,35:01.0,2.99
Sri Lanka,09:37.0,2.99
South Korea,58:27.0,2.99
United States,23:55.0,2.99
India,40:05.0,2.99
Canada,58:29.0,2.99
Mexico,50:03.0,2.99
United States,54:16.0,2.99
Mexico,24:58.0,2.99
South Africa,28:29.0,2.99
Vietnam,13:25.0,2.99
Morocco,31:41.0,2.99
United Arab Emirates,50:27.0,2.99
Argentina,49:57.0,2.99
China,29:00.0,2.99
Malawi,36:36.0,2.99
Japan,26:50.0,2.99
Taiwan,09:02.0,2.99
Taiwan,45:41.0,2.99
Cambodia,42:45.0,2.99
India,39:10.0,2.99
Vietnam,06:29.0,2.99
Nigeria,41:12.0,2.99
India,48:07.0,2.99
Egypt,45:51.0,2.99
Egypt,01:41.0,2.99
Vietnam,11:07.0,2.99
Japan,00:38.0,2.99
China,30:16.0,2.99
Mozambique,42:27.0,2.99
Brazil,53:58.0,2.99
Poland,30:07.0,2.99
Anguilla,03:10.0,2.99
Russian Federation,03:24.0,2.99
India,43:23.0,2.99
Nigeria,27:22.0,2.99
China,21:55.0,2.99
United States,58:52.0,2.99
Philippines,31:04.0,2.99
Oman,49:39.0,2.99
Italy,00:57.0,2.99
Brazil,49:10.0,2.99
United States,46:37.0,2.99
United States,59:44.0,2.99
Peru,13:34.0,2.99
Hong Kong,57:40.0,2.99
Myanmar,35:34.0,2.99
Turkey,42:13.0,2.99
Ukraine,27:08.0,2.99
South Africa,26:12.0,2.99
India,31:20.0,2.99
Mexico,24:20.0,2.99
Turkey,20:53.0,2.99
Philippines,50:14.0,2.99
China,30:27.0,2.99
Russian Federation,10:35.0,2.99
Turkey,37:11.0,2.99
India,21:22.0,2.99
Canada,53:44.0,2.99
China,00:12.0,2.99
Iran,18:54.0,2.99
India,18:21.0,2.99
United States,09:13.0,2.99
Bangladesh,47:55.0,2.99
Brazil,54:46.0,2.99
Peru,36:10.0,2.99
Egypt,23:54.0,2.99
Turkey,13:41.0,2.99
Mexico,22:44.0,2.99
Brazil,09:55.0,2.99
India,21:09.0,2.99
Spain,07:42.0,2.99
Taiwan,29:34.0,2.99
Indonesia,52:42.0,2.99
United States,30:06.0,2.99
"Virgin Islands, U.S.",48:48.0,2.99
Brazil,35:13.0,2.99
India,36:45.0,2.99
Mexico,15:37.0,2.99
New Zealand,33:37.0,2.99
United States,42:51.0,2.99
Indonesia,46:58.0,2.99
Brazil,31:39.0,2.99
Sweden,02:54.0,2.99
Puerto Rico,58:29.0,2.99
Faroe Islands,34:09.0,2.99
India,15:47.0,2.99
Anguilla,06:05.0,2.99
Morocco,26:35.0,2.99
South Africa,47:43.0,2.99
India,21:37.0,2.99
Paraguay,16:03.0,2.99
India,04:01.0,2.99
China,53:09.0,2.99
Saudi Arabia,33:02.0,2.99
Russian Federation,42:23.0,2.99
Tanzania,03:36.0,2.99
United States,59:49.0,2.99
Egypt,39:29.0,2.99
India,27:48.0,2.99
France,00:57.0,2.99
Turkey,32:31.0,2.99
Myanmar,26:50.0,2.99
India,54:46.0,2.99
Nigeria,57:49.0,2.99
